order_id,ship_date,ship_mode,customer_id,postal_code,date_id,delais_livraison
CA-2017-152156,2017-11-11,second class,CG-12520,42420,1,3
CA-2017-138688,2017-06-16,second class,DV-13045,90036,2,4
US-2016-108966,2016-10-18,standard class,SO-20335,33311,3,7
CA-2015-115812,2015-06-14,standard class,BH-11710,90032,4,5
CA-2018-114412,2018-04-20,standard class,AA-10480,28027,5,5
CA-2017-161389,2017-12-10,standard class,IM-15070,98103,6,5
US-2016-118983,2016-11-26,standard class,HP-14815,76106,7,4
CA-2015-167164,2015-05-15,second class,AG-10270,84084,8,2
CA-2015-143336,2015-09-01,second class,ZD-21925,94109,9,5
CA-2017-137330,2017-12-13,standard class,KB-16585,68025,10,4
CA-2017-121755,2017-01-20,second class,EH-13945,90049,11,4
US-2016-150630,2016-09-21,standard class,TB-21520,19140,12,4
CA-2018-107727,2018-10-23,second class,MA-17560,77095,13,4
CA-2016-117415,2016-12-31,standard class,SN-20710,77041,14,4
CA-2018-120999,2018-09-15,standard class,LC-16930,60540,15,5
CA-2017-118255,2017-03-13,first class,ON-18715,55122,16,2
CA-2017-169194,2017-06-25,standard class,LH-16900,19901,17,5
CA-2016-115742,2016-04-22,standard class,DP-13000,47150,18,4
CA-2017-105816,2017-12-17,standard class,JM-15265,10024,19,6
CA-2017-111682,2017-06-18,first class,TB-21055,12180,20,1
CA-2016-135545,2016-11-30,standard class,KM-16720,90004,21,6
CA-2015-106376,2015-12-10,standard class,BS-11590,85234,22,5
CA-2017-106075,2017-09-23,standard class,HM-14980,10009,23,5
US-2016-134026,2016-05-02,standard class,JE-15745,38109,24,6
US-2018-118038,2018-12-11,first class,KB-16600,77041,25,2
CA-2017-127208,2017-06-15,first class,SC-20770,35601,2,3
CA-2016-149734,2016-09-08,standard class,JC-16105,27707,26,5
US-2018-119662,2018-11-16,first class,CS-12400,60623,27,3
CA-2018-140088,2018-05-30,second class,PO-18865,29203,28,2
CA-2018-155558,2018-11-02,standard class,PG-18895,55901,29,7
CA-2017-159695,2017-04-10,second class,GM-14455,77095,30,5
CA-2017-109806,2017-09-22,standard class,JS-15685,90036,31,5
CA-2016-149587,2016-02-05,second class,KB-16315,55407,32,5
US-2018-109484,2018-11-12,standard class,RB-19705,97206,33,6
CA-2018-161018,2018-11-11,second class,PN-18775,10009,34,2
CA-2018-157833,2018-06-20,first class,KD-16345,94122,35,3
CA-2017-149223,2017-09-11,standard class,ER-13855,55106,36,5
CA-2017-158568,2017-09-02,standard class,RB-19465,60610,37,4
